,Collingwood/Melbourne/Australia
English,44
"Spanish ",9
Hindi,8
French,7
Italian,4
"German Standard",3
Punjabi,3
"Mandarin Chinese",3
Telugu,3
Arabic-Standard,3
Persian,3
Japanese,2
Greek,2
Cantonese,2
Mandarin,2
Gaelic,1
Malayalam,1
Arabic,1
Hakka,1
"German Sign Language",1
Russian,1
aaa,1
Tamil,1
German,1
Haryanvi,1
Hungarian,1
Ukrainian,1
Sinhala,1
Korean,1
Saraiki,1
Indonesian,1
Urdu,1
Marathi,1
Romanian,1
Serbian,1
Hebrew,1
Croatian,1
Portuguese,1
